sentiment,content
sadness,freeze cold function right type weather starve max
sadness,legs hurt stand day
worry,want set coffee shop money
neutral,ok might lil slow ff mean http mylocme1zx6
other,tommcfly run things say start think hate flood inbox philippines tour
happiness,live live dj jayem b2b esare click http wwwkrisisdnbcomlistenasx
other,wmdev every time succeed code get sorry credit card decline time
neutral,lettucegirl love available 5pm dear would love help maecy convert vidsi12
neutral,jun6lee ghunghte mein chanda hai phir bhi hai phela chaaron aur ujala love songggggg ps get lose morrisons
other,kingstonpaul damn wish go find late get wranglers kid bobalert miss mountainjam every year
other,30secondstomars ohoh miss ur tweet go stay awake night see announcement damn time difference
happiness,find baby cousin go dad least marry already everybody get marry kid
other,hottest stressiest day work f area manager happy go home
worry,tweet ally court last time sad sad moment
other,devotfeige man suck
worry,ccok99 take chance sell atx wait long
love,sick right thankful chicken soup bed
happiness,great time six flag yesterday summer friend spend night last night leave bore
worry,gjo26 weird
other,jasminepotts hahahaa sit outside twenty-four come bite haha ago dads cut grass
neutral,"portuguese national library could use also right seem stick somewhere circa one thousand, nine hundred and ninety-five example http younu7y68"
happiness,nobody ever mandagh make sad
worry,come back watch terminator salvation cathay soso much action feel sorry marcus though
neutral,dilemma wear sanfran foggy fifty-eight sacramento cple hrs sun eighty-six degr
sadness,give brother hug goodbye take load furniture away house take mattress like
worry,scratchy scratchy throat warm fluids need
worry,fact bad cook ship cook neither chicken
other,danipoynterjudd awful xxxx
worry,work punchy due two early morning pager events
worry,saw sun blink go
worry,laurenvdw ahh close
neutral,thecookieninja mom get pay
worry,cankle sore
worry,take meds take percentage back feel worse
sadness,rumpelwald ne muss noch two woche warten
neutral,jeanise go say let us go lunch
neutral,deezdimplez lol suck
sadness,saynerd01 ericajo42 grr stupid meebo disconnect every five second
sadness,super pump relay life tonite walk honor sweet grandpa six uncle howard past yesterday
worry,throat kill whine great
worry,editting crap school drag give lol ill home want go home tt vida bore right
sadness,miss old ha ha tell person name
worry,thehubnyc sale botega
other,thank iphone keep till one asshole
other,really wish spare cash buy new punch wii
other,wow r watch outsiders smelly english
other,even tell much hair dresser piss clue wtf ask expect worst
neutral,notoriousflirt yeah
neutral,ehhhscratch lay outno sun go lunchhhhh
worry,neighborhood gas station go kaput business convenient trip ice whatevs three miles travel
worry,purpleshoe ahh normally would jump man office solo today
sadness,freeze math class
love,turn twenty-six june twenty-two youth shelton bday go snag piece mancandy miss everyday hot chocolate three
worry,last day la sad
happiness,really want play
neutral,ambrosechick yeah get qualifyin whole race tape delay
sadness,gah buddy k must hang person right miss along parker mcphee
neutral,yeah one burrito taste like avocado ranch sauce
sadness,feel today go bore work three till nine hundred and thirty
worry,go home get home black berry woo hoo get see presten three
love,go home get home black berry woo hoo get see presten three
sadness,work freakin computer try save stuff harddrive seem fail miserably
other,oh hate friday even
sadness,kerry throw ball anand bounce head land lunch explode everywhere
sadness,take care sick children
worry,get hair cut todayyyy nerrrvous
neutral,stephaniemusic love love mr player come visit miss girls
other,katiejanewatson oh forget things see ahah hat creep
worry,funkeygurlno1 go work bummer
other,kamarichelsea give inspiration last update
sadness,tummy ache probably help eat many tic tacs
worry,http twitpiccom66uor go really long cycle ride mum brothers bff han today bum ache
sadness,msignorile weather suck
neutral,kaypriceless wack put swimsuit regular pant least
worry,feel ucky today need defense vitamin water want sick mores
happiness,oh noesss seniors last day however tickle till floor giggle make totally worth plus senior sandwhich
happiness,markfriend ask mum bout go tommorow laugh face lmao
worry,ugh breathe right today
neutral,think cani12t control thoughts
sadness,back work
worry,way ft knox http mylocme1zyg
other,sparklej man go sunday help day piano recital suck
worry,wow last hour twitter yet send twitter guy bare w
sadness,get hair cut great stupid gum
sadness,computer work work booo need new one tgif
worry,ask everyone please join pray mom get home er go see heart doctor
other,ceadda say
other,tinchystryder eh never hear belfast like everyone love
worry,merewichdabitch unlock decades lucky never gottta make luck involve
neutral,xchadballx mmm nandos good topshop rule actually devastate come london show m8 bail
sadness,regrettin decisions make
worry,courtney_mejer could remember different cord mean lose half leave graduation anyway
other,think revise garden eight morning without sunscreen best idea oucccccccch
happiness,pub garden boil hannah likey
neutral,"webchickbot portuguese national library could use also right seem ca one thousand, nine hundred and ninety-five web example http younu7y68"
sadness,jessner12 suck majorly swamp twitter know still golf tournament
sadness,brento maybe first mistake everyone cool sqlfool brown nose moment
worry,jp1983 burn ericpratum ohh xoxo
neutral,hate arrival employee park lot
neutral,tiffanymmiller yes work six three
other,marginatasnaily wive aunts 40th
neutral,want buy really red lipstick wear often
other,mtn dew minifridge
happiness,http twitpiccom66uq4 hotttt weather get blackk start rain
sadness,work suck big time
sadness,say goodbye good trust friend today goodbye free sky tv best friend anyone could
neutral,work feel like bein dis bitch today
worry,kate38381849 ouuhh cry feel sad right
happiness,new baby well attempt paint weekend
sadness,crappy day
other,wilstobbart still work
love,work weather beautifullll
worry,wethetravis mean see lot tonight tix run
sadness,urge go shoppinghmmm get money
neutral,well normal day would already do work unfortunately normal day mean office till late
sadness,well poop guitar lesson cancel today sad hope son feel better soon tho
other,nikkistixx valentinamia omg guy know get nasty head hurt
worry,back vet good
worry,everyone abandon office still five hours go
other,wait long line chickfila
worry,heltershelter line wait know
other,need blankie train icebox
sadness,pilarlovesyou love leave
worry,two hundred people wifi cell hubs hardwear mean kind grid tweet take like five minutes
other,come home get ratty shop staff blister foot meh
sadness,shaw guy want sleep
worry,well poop look like office key key neighbor key bike rid
worry,wedspace know work keen pay though 2ndary social network
other,go get car inspection sticker get gigantic red r one keep pile take worry ok
sadness,tummy hurt
worry,contribute economic stimulus wal mart un expect tire replacements
worry,autisminsights laundry instead sit darn laundry keep mock
other,caitdog13 lucky beggin jury duty years ever send notice notice people address
other,headache
worry,lose without laptop break today make even worse two big boss skipton show today
sadness,hi_im_chris get mine keep get error
worry,math amaze hell time socialily naiv part fine
worry,thomasfiss miss
love,wish every day
other,ano pa bang aasahan ko sa iyo never fail fail
other,lynstephaniewoo yes sober hahaha tanghaling tapat dude haha wild knowwww plan plan go us
neutral,gadgetopia need dm follow send email
other,flip flop menace cut one feet ouchies
love,weekend even though work
other,office try solve mystery whose blood bathroom toilet eewwwww
happiness,tenuousness aoh one best band play frosh stoke work tonight else would totally
other,best could proof crack lol http twitpiccom66ust
sadness,talk vincent miss baadly
neutral,ericvespe would premier avatar footage also better hang
worry,think cat trap back garden find hopefully someone elses garden fancy find poorly cat
worry,enough close contact twitter follow friday followfriday
other,redhalo_pax suck
sadness,mourn venus third round loss
worry,vanessathomas ugh stupid teenagers show peaceful time
neutral,grr everytime get new girlfriend bottom totem pole
sadness,jonkragel sick like five days
neutral,partygurle wow atleast three weeks two months go go away
worry,cfieds sorry hear
happiness,members cf check facebook computer immediately sweet video gulardi wait make teary
